Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
T1218 ? ? ? P ? 20161014 0001 51.580 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1218 ? ? ? S ? 20161014 0001 53.800 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED02 ? ? ? P ? 20161014 0001 54.620 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED02 ? ? ? S ? 20161014 0001 58.710 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED11 ? ? ? P ? 20161014 0001 52.650 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1217 ? ? ? S ? 20161014 0001 57.640 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? P ? 20161014 0001 52.360 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1215 ? ? ? S ? 20161014 0001 59.000 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED12 ? ? ? P ? 20161014 0001 53.540 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED12 ? ? ? S ? 20161014 0001 56.650 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? S ? 20161014 0001 52.490 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? P ? 20161014 0001 51.360 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
NRCA ? ? ? P ? 20161014 0001 52.690 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED22 ? ? ? S ? 20161014 0002 01.170 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? S ? 20161014 0001 59.040 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? P ? 20161014 0001 54.880 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
MMO1 ? ? ? S ? 20161014 0001 57.190 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED16 ? ? ? S ? 20161014 0001 55.460 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1214 ? ? ? P ? 20161014 0001 51.010 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1241 ? ? ? S ? 20161014 0001 58.020 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? S ? 20161014 0001 56.860 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? P ? 20161014 0001 53.640 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1244 ? ? ? P ? 20161014 0001 51.840 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED20 ? ? ? S ? 20161014 0001 56.790 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED20 ? ? ? P ? 20161014 0001 53.510 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED23 ? ? ? P ? 20161014 0001 51.960 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1243 ? ? ? S ? 20161014 0001 57.160 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1243 ? ? ? P ? 20161014 0001 53.880 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
TERO ? ? ? S ? 20161014 0002 01.250 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED07 ? ? ? S ? 20161014 0001 58.660 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1246 ? ? ? S ? 20161014 0001 59.710 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED25 ? ? ? S ? 20161014 0001 57.600 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? P ? 20161014 0001 51.270 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? S ? 20161014 0001 51.500 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1201 ? ? ? P ? 20161014 0001 52.420 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
RM33 ? ? ? S ? 20161014 0001 58.950 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED24 ? ? ? P ? 20161014 0001 51.840 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED03 ? ? ? S ? 20161014 0001 55.450 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00

Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
T1299 ? ? ? P ? 20161014 0002 39.360 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
RM33 ? ? ? S ? 20161014 0002 43.900 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED01 ? ? ? P ? 20161014 0002 41.570 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED01 ? ? ? S ? 20161014 0002 45.120 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED03 ? ? ? P ? 20161014 0002 39.990 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1211 ? ? ? S ? 20161014 0002 49.300 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED02 ? ? ? S ? 20161014 0002 47.000 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED24 ? ? ? P ? 20161014 0002 39.770 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1201 ? ? ? S ? 20161014 0002 41.080 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1201 ? ? ? P ? 20161014 0002 39.410 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1218 ? ? ? P ? 20161014 0002 40.460 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1218 ? ? ? S ? 20161014 0002 42.840 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED11 ? ? ? S ? 20161014 0002 44.430 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED11 ? ? ? P ? 20161014 0002 41.400 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1217 ? ? ? S ? 20161014 0002 46.910 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1215 ? ? ? S ? 20161014 0002 49.270 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? S ? 20161014 0002 44.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED12 ? ? ? S ? 20161014 0002 47.850 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? S ? 20161014 0002 42.100 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? P ? 20161014 0002 39.820 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? S ? 20161014 0002 43.760 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1214 ? ? ? S ? 20161014 0002 43.020 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED23 ? ? ? S ? 20161014 0002 41.970 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED23 ? ? ? P ? 20161014 0002 40.000 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? S ? 20161014 0002 48.690 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
