# 2016 10 14 00 00  9.050 42.8128  13.2100   8.500  0.92 0 0 0      1
T1243   7.133 1 S
 ED07   8.703 1 S
T1202   1.463 1 P
T1202   2.483 1 S
 ED24   1.803 1 P
 ED24   3.603 1 S
# 2016 10 14 00 08  0.118 42.6524  13.2230   9.903  0.54 0 0 0     11
 RM33   5.812 1 S
 ED03   2.002 1 P
 ED03   3.362 1 S
 ED01   3.602 1 P
 ED01   6.382 1 S
 ED02   4.652 1 P
 ED24   1.622 1 P
 ED24   3.112 1 S
T1218   3.762 1 S
T1218   2.232 1 P
 ED11   3.172 1 P
 ED11   5.832 1 S
T1212   6.252 1 S
T1212   3.682 1 P
 ED10   5.832 1 S
 NRCA   7.482 1 S
T1245   7.422 1 S
T1202   4.052 1 S
T1202   1.982 1 P
 ED23   2.902 1 P
 ED23   5.052 1 S
 ED09   3.892 1 P
T1204   3.892 1 S
T1201   1.652 1 P
 TERO   9.632 1 S
 TERO   5.332 1 P
 ED07   3.562 1 P
 ED07   6.902 1 S
 SMA1   4.182 1 S
T1246   7.492 1 S
T1246   4.272 1 P
T1299   1.752 1 P
 ED25   2.962 1 P
 ED25   5.022 1 S
 ED14   9.592 1 S
 ED05   7.592 1 S
# 2016 10 14 00 08 30.500 42.7755  13.1800   8.500  0.65 0 0 0     12
T1218   2.650 1 P
T1218   4.620 1 S
 ED02   5.310 1 P
 ED02   9.260 1 S
 ED11   3.300 1 P
T1212   5.100 1 S
 ED10   1.980 1 P
T1215   4.210 1 P
 ED12   2.960 1 P
 ED12   5.290 1 S
 NRCA   1.930 1 P
T1245   4.190 1 S
 ED18   4.260 1 P
 ED21   5.010 1 P
 ED21   8.720 1 S
 ED17   4.550 1 P
T1241   7.250 1 S
 ED09   4.140 1 P
 ED09   7.440 1 S
 ED20   4.100 1 P
 ED20   7.220 1 S
T1243   7.760 1 S
 TERO  11.930 1 S
 ED07   9.410 1 S
T1246  10.330 1 S
T1214   1.520 1 P
 ED25   8.250 1 S
 ED05  11.300 1 S
T1201   2.980 1 P
T1202   3.030 1 S
T1202   1.890 1 P
 RM33   9.520 1 S
 ED24   2.440 1 P
 ED03   3.530 1 P
# 2016 10 14 00 09  2.655 42.6868  13.3122  13.404  0.48 0 0 0     13
T1299   2.555 1 P
T1299   4.415 1 S
T1201   2.585 1 P
T1201   4.645 1 S
 ED03   5.755 1 S
 ED24   5.265 1 S
T1218   6.335 1 S
 ED11   8.005 1 S
T1202   2.705 1 P
 ED10   2.795 1 P
 ED16   6.825 1 S
 ED20   5.185 1 S
T1243   5.265 1 S
 ED07   5.715 1 S
 ED07   3.395 1 P
T1246   7.005 1 S
T1204   2.255 1 P
 SMA1   4.335 1 S
 SMA1   2.495 1 P
 ED25   2.915 1 P
 ED25   5.255 1 S
# 2016 10 14 00 10 23.874 42.7474  13.1880   2.181  0.77 0 0 0     14
 ED01   9.126 1 S
T1218   4.106 1 S
T1218   2.026 1 P
 ED02   4.586 1 P
 ED02   8.646 1 S
 ED11   2.616 1 P
T1217   7.166 1 S
T1212   4.316 1 S
T1212   2.256 1 P
T1215   8.676 1 S
T1215   4.656 1 P
 ED12   3.516 1 P
 ED12   6.036 1 S
 ED10   0.586 1 P
T1216   7.136 1 S
 CESI  11.556 1 S
 NRCA   3.916 1 S
 NRCA   2.146 1 P
 ED19   6.866 1 S
  MC2   7.116 1 S
T1245   3.746 1 S
 CSP1   6.746 1 P
 CSP1  12.576 1 S
 ED18   9.386 1 S
 ED21  10.566 1 S
 GUMA  12.976 1 S
 ED22  10.636 1 S
 ED17   4.536 1 P
 ED17   8.746 1 S
 MMO1   3.616 1 P
 MMO1   7.026 1 S
 ED16   2.716 1 P
 ED16   5.236 1 S
T1214   0.506 1 P
T1214   0.826 1 S
 ED09   3.506 1 P
 ED09   6.866 1 S
 ED20   3.486 1 P
 ED20   6.676 1 S
T1243   3.766 1 P
T1243   7.216 1 S
 TERO  11.466 1 S
 TERO   6.036 1 P
 ED07   4.616 1 P
 ED07   8.566 1 S
T1204   2.626 1 P
T1204   5.036 1 S
T1246   9.916 1 S
T1246   5.296 1 P
 ED15  13.116 1 S
 ED25   7.826 1 S
T1202   1.566 1 S
 CAMP   9.526 1 S
 ED14   6.746 1 P
 ED14  12.466 1 S
T1201   4.626 1 S
 ED05  10.786 1 S
 RM33   9.086 1 S
 ED24   1.886 1 P
 ED03   2.986 1 P
# 2016 10 14 00 12 10.167 42.7385  13.1902   2.292  1.46 0 0 0     15
 ED01   4.323 1 P
 ED01   8.643 1 S
 ED08   5.683 1 P
T1218   1.823 1 P
T1211   6.093 1 P
T1211  11.783 1 S
 ED02   8.673 1 S
 ED02   4.433 1 P
 ARRO   6.633 1 P
 ED11   2.263 1 P
T1217   3.743 1 P
T1212   1.993 1 P
T1215   4.673 1 P
T1215   9.193 1 S
 ED12   3.343 1 P
T1216   7.133 1 S
T1216   3.873 1 P
 CESI   6.463 1 P
 CESI  12.023 1 S
 ED10   0.733 1 P
 NRCA   2.283 1 P
 FDMO   5.873 1 P
 ED19   3.803 1 P
 ED19   7.123 1 S
  MC2   3.623 1 P
  MC2   7.223 1 S
 CSP1  13.053 1 S
 CSP1   6.733 1 P
 ED18   4.943 1 P
 ED18   9.723 1 S
 ED21   5.583 1 P
 ED21  10.773 1 S
 GUMA   6.973 1 P
 GUMA  13.073 1 S
 ED22  10.833 1 S
 ED17   8.973 1 S
 ED17   4.573 1 P
 MMO1   7.173 1 S
 MMO1   3.633 1 P
T1214   0.513 1 S
T1214   0.293 1 P
 ED16   5.353 1 S
 ED16   2.723 1 P
 ED09   3.363 1 P
 ED09   6.833 1 S
 ED20   6.613 1 S
 ED20   3.283 1 P
T1243   7.123 1 S
T1243   3.723 1 P
 TERO  11.293 1 S
 TERO   5.973 1 P
 ED07   8.733 1 S
 ED07   4.383 1 P
T1204   2.443 1 P
T1204   4.823 1 S
T1246   9.723 1 S
T1246   5.143 1 P
 ED15  12.113 1 S
 ED15   6.373 1 P
 SMA1   3.133 1 P
 GIGS   7.363 1 P
T1202   1.253 1 P
 ED25   3.723 1 P
 ED25   7.503 1 S
 CAMP   9.133 1 S
 CAMP   5.073 1 P
T1299   2.823 1 P
T1201   2.293 1 P
T1201   4.463 1 S
 ED14  12.133 1 S
 ED14   6.413 1 P
 ED05  10.503 1 S
 ED05   5.493 1 P
 ED04   7.303 1 S
 ED04   3.953 1 P
T1247  11.483 1 S
 ED06  10.023 1 S
 ED06   5.573 1 P
 RM33   4.503 1 P
 RM33   8.463 1 S
 ED24   1.653 1 P
 ED03   2.793 1 P
 ED03   5.503 1 S
# 2016 10 14 00 14 43.592 42.8181  13.3531  15.399  0.67 0 0 0     16
 SMA1   7.698 1 S
T1299   8.088 1 S
 ED24   4.478 1 P
 ED24   8.188 1 S
T1215  12.658 1 S
 ED12  10.498 1 S
 NRCA   7.208 1 S
T1245   6.378 1 S
 ED16   5.088 1 S
 ED19   7.568 1 S
 ED18   7.868 1 S
 CSP1  10.948 1 S
 ED21   8.518 1 S
 ED17   6.678 1 S
 MMO1   5.358 1 S
 ED22   8.148 1 S
 ED09   2.518 1 P
 TERO   5.588 1 P
 ED20   2.888 1 P
T1246   9.628 1 S
T1246   5.138 1 P
 ED07   8.368 1 S
 ED07   4.458 1 P
 ED25   8.738 1 S
# 2016 10 14 00 16 15.649 42.8528  13.2490   2.464  0.37 0 0 0     17
T1214   4.231 1 S
 ED10   2.261 1 P
 ED10   4.211 1 S
T1245   1.572 1 S
 ED19   2.171 1 P
 ED19   4.111 1 S
 ED18   5.531 1 S
 ED17   4.531 1 S
 MMO1   1.512 1 P
 MMO1   2.972 1 S
 ED16   2.101 1 S
 ED20   6.311 1 S
# 2016 10 14 00 17 10.347 42.8436  13.1615   5.090  0.89 0 0 0     18
 ED10   1.493 1 P
 ED11   3.873 1 P
T1212   2.643 1 P
T1212   4.223 1 S
 ED12   3.033 1 P
 ED12   5.573 1 S
T1215   4.193 1 P
 NRCA   0.773 1 P
T1216   2.573 1 P
T1216   4.153 1 S
 CESI   8.883 1 S
 ED19   1.483 1 P
  MC2   3.193 1 S
  MC2   1.533 1 P
 ED21   3.783 1 P
 ED21   7.403 1 S
 ED22   7.573 1 S
T1245   0.623 1 P
 ED17   3.063 1 P
 ED17   7.223 1 S
 MMO1   5.163 1 S
 MMO1   2.623 1 P
 ED16   2.483 1 P
 ED09   7.073 1 S
 ED09   3.953 1 P
 ED20   7.673 1 S
 ED20   4.273 1 P
 TERO  13.433 1 S
 TERO   7.333 1 P
 ED07   6.043 1 P
T1246   6.733 1 P
T1246  12.133 1 S
 ED05  14.233 1 S
T1214   2.183 1 P
T1202   3.243 1 P
T1202   6.373 1 S
 ED24   4.033 1 P
# 2016 10 14 00 19 50.263 42.8189  13.3493  16.652  0.81 0 0 0     19
 SMA1   4.307 1 P
 SMA1   7.507 1 S
T1204   3.807 1 P
T1204   6.937 1 S
T1299   4.518 1 P
T1299   8.187 1 S
T1201   8.017 1 S
 ED24   4.567 1 P
 ED24   8.677 1 S
T1202   3.977 1 P
T1202   7.447 1 S
T1218   4.867 1 P
T1218   9.097 1 S
T1214   3.507 1 P
T1214   6.487 1 S
 ED11   5.397 1 P
 ED11  10.147 1 S
T1217  11.757 1 S
T1212   9.127 1 S
T1212   4.937 1 P
T1215  12.747 1 S
 ED12  10.337 1 S
 NRCA   7.358 1 S
T1216   9.517 1 S
T1245   6.518 1 S
T1245   3.488 1 P
 CESI  13.328 1 S
 ED16   2.807 1 P
 ED16   5.237 1 S
 ED19   4.227 1 P
 ED19   7.737 1 S
  MC2   7.298 1 S
 FDMO  10.587 1 S
 FDMO   5.727 1 P
 ED18   4.347 1 P
 ED18   8.057 1 S
 CSP1  10.937 1 S
 ED21   4.657 1 P
 ED21   8.647 1 S
 ED17   3.677 1 P
 ED17   6.867 1 S
 MMO1   2.988 1 P
 MMO1   5.528 1 S
 ED22   8.357 1 S
 GUMA   9.948 1 S
 ED09   2.707 1 P
 ED09   5.157 1 S
 TERO   5.467 1 P
 TERO  10.387 1 S
 ED20   5.797 1 S
 ED20   2.987 1 P
 ED15  12.427 1 S
T1246   9.817 1 S
T1246   5.337 1 P
 GIGS  13.827 1 S
 ED07   8.467 1 S
 ED07   4.667 1 P
 ED14  13.217 1 S
 CAMP  10.487 1 S
 ED05  12.227 1 S
 ED25   8.847 1 S
# 2016 10 14 00 20 41.579 42.8652  13.0885   1.706  0.59 0 0 0     20
 ED11   3.631 1 P
 ED11   7.101 1 S
T1212   2.481 1 P
T1212   4.791 1 S
 ED02  10.181 1 S
T1217   7.291 1 S
 ED12   2.111 1 P
 ED12   3.581 1 S
T1215   6.951 1 S
T1216   1.221 1 P
 CESI   7.071 1 S
 FDMO   3.371 1 P
 FDMO   6.401 1 S
 CSP1   4.691 1 P
 CSP1   9.591 1 S
 ED19   1.551 1 P
 ED21   4.141 1 P
 ED21   7.931 1 S
 ED18   6.651 1 S
 ED18   3.461 1 P
 ED22   8.531 1 S
 ED17   3.731 1 P
 ED17   7.131 1 S
 MMO1   3.601 1 P
 MMO1   6.811 1 S
 ED16   6.581 1 S
T1245   2.161 1 S
 ED09   9.291 1 S
 ED20  10.091 1 S
T1214   5.591 1 S
 ED25  12.571 1 S
T1299  10.371 1 S
T1202   4.281 1 P
T1201   9.621 1 S
 ED10   3.921 1 S
 ED24   8.311 1 S
 NRCA   1.391 1 S
 NRCA   1.001 1 P
T1218   6.891 1 S
# 2016 10 14 00 21 36.647 42.8828  13.0740   2.098  0.58 0 0 0     21
 ED11   7.353 1 S
T1212   4.993 1 S
T1217   7.563 1 S
 ED12   2.213 1 P
 ED12   4.123 1 S
T1215   6.413 1 S
T1216   1.203 1 P
T1216   1.513 1 S
 CESI   6.963 1 S
 FDMO   6.323 1 S
 ED19   2.013 1 S
 ED22   8.703 1 S
 ED17   3.813 1 P
 ED17   7.153 1 S
 MMO1   7.003 1 S
T1245   3.563 1 S
 ED20  11.163 1 S
 TERO  16.513 1 S
 ED07  13.503 1 S
T1246  14.733 1 S
T1214   6.703 1 S
 ED25  12.923 1 S
T1202   8.073 1 S
 ED05  15.643 1 S
 ED10   4.313 1 S
 NRCA   1.203 1 P
 NRCA   2.383 1 S
 ED01  13.573 1 S
# 2016 10 14 00 22  4.324 42.8902  13.2388   2.799  0.56 0 0 0     22
T1202   7.666 1 S
 ED03  10.646 1 S
T1214   5.376 1 S
 ED10   5.046 1 S
 ED11   9.476 1 S
T1212   7.356 1 S
T1245   2.146 1 S
T1245   1.086 1 P
T1216   5.916 1 S
 ED19   1.526 1 P
 ED19   2.996 1 S
  MC2   2.076 1 S
  MC2   0.966 1 P
 FDMO   6.816 1 S
 CSP1   7.806 1 S
 ED18   4.026 1 S
 ED21   5.196 1 S
 GUMA   7.606 1 S
 ED22   5.246 1 S
 ED17   3.396 1 S
 ED17   1.726 1 P
 MMO1   1.316 1 P
 MMO1   2.656 1 S
 ED20   7.276 1 S
 ED16   3.106 1 S
 TERO  13.596 1 S
T1246  12.806 1 S
# 2016 10 14 00 22 50.372 42.8689  13.0726   3.757  0.43 0 0 0     23
T1212   5.048 1 S
T1216   1.958 1 S
